date,hour,day,pm25
2018-08-10,00,10,7.1
2018-08-10,01,10,4.5
2018-08-10,02,10,10.2
2018-08-10,03,10,13.1
2018-08-10,04,10,23.5
2018-08-10,05,10,18.7
2018-08-10,06,10,15.3
2018-08-10,07,10,15.6
2018-08-10,08,10,15.3
2018-08-10,09,10,15.1
2018-08-10,10,10,14
2018-08-10,11,10,12.5
2018-08-10,12,10,11.2
2018-08-10,13,10,9.6
2018-08-10,14,10,8.3
2018-08-10,15,10,8.6
2018-08-10,16,10,7.8
2018-08-10,17,10,7.4
2018-08-10,18,10,6.7
2018-08-10,19,10,5.3
2018-08-10,20,10,4.1
2018-08-10,21,10,5
2018-08-10,22,10,5.5
2018-08-10,23,10,5.2
2018-08-11,00,11,4.1
2018-08-11,01,11,3
2018-08-11,02,11,2.5
2018-08-11,03,11,2.7
2018-08-11,04,11,2.8
2018-08-11,05,11,2.4
2018-08-11,06,11,4.2
2018-08-11,07,11,6.1
2018-08-11,08,11,6
2018-08-11,09,11,5
2018-08-11,10,11,4
2018-08-11,11,11,3.5
2018-08-11,12,11,3.7
2018-08-11,13,11,3.8
2018-08-11,14,11,3.4
2018-08-11,15,11,4.2
2018-08-11,16,11,5.1
2018-08-11,17,11,4
2018-08-11,18,11,4.5
2018-08-11,19,11,5.7
2018-08-11,20,11,5.3
2018-08-11,21,11,5.1
2018-08-11,22,11,7
2018-08-11,23,11,6.5
2018-08-12,00,12,5.2
2018-08-12,01,12,4.1
2018-08-12,02,12,5.5
2018-08-12,03,12,6.2
2018-08-12,04,12,7.6
2018-08-12,05,12,7.3
2018-08-12,06,12,6.6
2018-08-12,07,12,6.8
2018-08-12,08,12,6.4
2018-08-12,09,12,10.7
2018-08-12,10,12,13.8
2018-08-12,11,12,12.4
2018-08-12,12,12,11.2
2018-08-12,13,12,11.1
2018-08-12,14,12,9.5
2018-08-12,15,12,7.7
2018-08-12,16,12,5.8
2018-08-12,17,12,5.9
2018-08-12,18,12,6.4
2018-08-12,19,12,7.2
2018-08-12,20,12,7.1
2018-08-12,21,12,6.5
2018-08-12,22,12,6.2
2018-08-12,23,12,5.1
2018-08-13,00,13,4
2018-08-13,01,13,3.5
2018-08-13,02,13,3.2
2018-08-13,03,13,2.6
2018-08-13,04,13,2.8
2018-08-13,05,13,5.9
2018-08-13,06,13,5.9
2018-08-13,07,13,6.4
2018-08-13,08,13,6.7
2018-08-13,09,13,8.3
2018-08-13,10,13,10.6
2018-08-13,11,13,12.8
2018-08-13,12,13,14.9
2018-08-13,13,13,16.9
2018-08-13,14,13,20.9
2018-08-13,15,13,24.4
2018-08-13,16,13,25.7
2018-08-13,17,13,28.8
2018-08-13,18,13,29.9
2018-08-13,19,13,31.9
2018-08-13,20,13,32.4
2018-08-13,21,13,35.7
2018-08-13,22,13,35.3
2018-08-13,23,13,35.1
2018-08-14,00,14,39.5
2018-08-14,01,14,38.1
2018-08-14,02,14,37.1
2018-08-14,03,14,37.8
2018-08-14,04,14,39.5
2018-08-14,05,14,40.3
2018-08-14,06,14,42.3
2018-08-14,07,14,43.5
2018-08-14,08,14,41.7
2018-08-14,09,14,44.8
2018-08-14,10,14,49.9
2018-08-14,11,14,55.3
2018-08-14,12,14,62.4
2018-08-14,13,14,64.6
2018-08-14,14,14,66.9
2018-08-14,15,14,65.5
2018-08-14,16,14,65.7
2018-08-14,17,14,68.7
2018-08-14,18,14,72.9
2018-08-14,19,14,76.9
2018-08-14,20,14,76.1
2018-08-14,21,14,74.4
